question,answer
" A boar is what type of creature?
",Pig
" Which famous personality married Swedish model, Min Nordegren, in October 2004?
",Tiger woods
" Mary Baker Eddy founded which religion?
",Christian Science
" ""Which English playwright was known as """"The Master""""?""
",Noel coward
" Which nine letter word, taken from the Aboriginal language is used by Australians for an oxbow lake or stagnant pond?
",Billabong
" Which spirit forms the basis of a Pina Colada cocktail ?
",Rum
" ""In the film """"Cast Away"""", what company does Tom Hanks work for?""
",FedEx
" If Christmas Day falls on a Tuesday, on what day will New Year's Day fall?
",Tuesday
" In November 1990, Mary Robinson defeated Brian Lenihan to become the first female President of which country?
",Ireland
" ...thought, an old term for a wishbone?
",Merry
" Which art gallery is located at Bankside, London SE1?
",Tate Modern
" Who lit the Olympic flame at the Sydney Olympics
",Cathy Freeman
" What is the family name of an England 1966 football world cup winner and his nephew, an England 2003 rugby union world cup winner?
",Cohen
" 'Astraphobia' is the fear of what?
",Lightning
" The 1980’s UK television series ‘Bergerac’ was set on which island?
",Jersey
" In which city would you find the two English league grounds which are closest to each other?
",Nottingham
" Niamey is the capital of which country?
",Niger
" George W Bush was vice president in whose administration?
",Ronald Reagan
" Who was the third wife of King Henry VIII who died of postnatal complications less than two weeks after the birth of her son, who briefly reigned as Edward VI?
",Jane Seymour
" Which British Prime Minister's wife was a published poet?
",Harold Wilson
" In which English town or city is Her Majesty's Prison 'Buckley Hall'?
",Rochdale
" Who did author Gore Vidal describe in 1981 as, a triumph of the embalmer's art
",Ronald Reagan
" What is the fish used in the Jewish speciality gefiltefisch
",Carp
" What name is given to the popular holiday area between Marseille and La Spezia?
",Riviera
" Which American tennis player won his only Wimbledon Singles title in 1975 ?
",Arthur ashe
" Glenn Frey died in January. Of what pop band was he a member?
",The EAGLES
" Haddonfield, Illinois is the setting for which 1978 horror film?
",Halloween
" Jovian relates to which planet in our solar system?
",Jupiter
" Where was the armistice which halted the Korean War signed in 1953?
",Panmunjon
" Which of Batman's villains did Burgess Meridith play in the sixties TV series?
",The Penguin
" A cheroot is a type of what?
",Cigar
" Warner Oland, Sydney Toler and Roland Winters have all played which fictional detective?
",Charlie chan
" Which cartoon character made his screen debut in 1940 in the animated short film A Wild Hare'?
",Bugs Bunny
" In the BBC sitcom, according to the sign on their van Trotters Independent Traders have branches in New York, Peckham and where else?
",Paris
" Bridget Riley is one of the foremost exponents of which style of art?
",Op Art
" Which James Bond Theme was the first to be nominated for an academy award for best original song?
",Live and let die
" Which model married both George Harrison and Eric Clapton ?
",Patty boyd
" Which British poet (1914-1953) is quoted as having said “When one burns one’s bridges, what a very nice fire it makes”?
",Dylan thomas
" Which actress played Summer in the TV show The OC?
",Rachel Bilson
" What is an expression used to describe across a number of different sports the apparent loss of certain fine motor skills seemingly without explanation?
",The yips
" In Western films, what is a bar regularly called?
",Saloon
" Who developed the first suvvessful vaccine for Smallpox ?
",Edward JENNER
" In which book of the bible is the story of Goliath told?
",Samuel
" What diet, developed by Dr. Arthur Agatston at the Mount Sinai Medical Center & Miami Heart Institute, focus on foods with a low glycemic index and foods rich in unsaturated fats and omega-3 fatty acids?
",South Beach Diet
" ""After William Shakespeare, who is the most frequently quoted writer in the English language with phrases like """"Theirs not to reason why,/Theirs but to do and die""""?""
",Alfred Tennyson
" Who patented the electric, or dry razor in 1928?
",Jacob schick
" She is the mother of Morgan le Fay by her first husband Gorlois and mother of King Arthur by her second husband Uther Pendragon. What is her name?
",Igraine
" The Disney Brothers Cartoon Studio was set up on October 16 1923 by Walt Disney and his brother, what was his brothers' first name?
",Roy
" Aston, Digbeth and Ladywood are all areas of which British city?
",Birmingham
" What desert, starting with the letter M, can be found in southeast California?
",Mojave Desert
" In physics a tachyon is a hypothetical particle which has what characteristic?
",Faster than light
" ""Which insect acts as the transmitting agent in the spread of the infectious disease """"Sleeping Sickness""""?""
",Tsetse fly
" Which Irish born writer wrote 'A Woman Of No Importance'?
",Oscar wilde
" Siddhartha Gautama became better known as who?
",Buddha
" The American state of Georgia is known by what official nickname?
",The Peach State
" Which Shakespeare play takes place in Vienna?
",Measure for Measure
" The live album Beauty and the Beat featured pianist George Shearring and which singer?
",Peggy Lee
" The Wood Sorrell plant is more commonly known as what?
",Shamrock
" Which Oscar winning film was based on the life of killer Aileen Wuornos?
",Monster
" The largest portion of Yellowstone National Park is located in which state?
",Wyoming
" Which creatures live in a formicary?
",Ants
" 'The Maldives' islands are situated in which ocean?
",The Indian Ocean
" Who was the first artist to appear at the new Wembley Stadium?
",George Michael
" What 9 letter word is used to describe someone watches or clocks?
",Horologist
" The colour/color dun is a shade of?
",Brown
" On which New York island is Wall Street
",Manhattan
" Working in military intelligence during WWII, eventually achieving the rank of major, Diana Prince is the alter ego of what DC Comics superhero?
",Wonder Woman
" In which month of the year is Martinmas?
",November
" Prior to Padraig Harrington in 2008, who was the last European golfer to win two of golf's major titles in the same season?
",Nick faldo
" Which Spanish conquistador successfully crossed Panama in 1513, thus becoming the first European to see the Pacific Ocean from the New World?
",Balboa
" ""In the fairy tale """"Sleeping Beauty"""", who kissed the princess to wake her up?""
",Handsome Prince
" Whose December 2014 official photographs, wearing a guardsman-design knitted pullover, prompted huge sales interest in the product?
",Prince George
" What car/vehicle maker has (at 2011) a logo of two chevrons, one above the other, both pointing upwards?
",Citroën
" Who wrote the novel It, which sees Derry, Maine terrorized at 28 year intervals by a entity that calls itself ""Pennywise the Dancing Clown?
",Stephen King
" Give another name for halite, the mineral form of sodium chloride.
",Rock salt
" What nationality was Formula 1 motor racing champion Juan Fangio?
",Argentinian
" What are the holes, at the Augusta golf course, White Dogwood, Golden Bell and Azalea called collectivelyr
",Amen Corner
" Under what pseudonym did Edith Pargeter create the detective Brother Cadfael?
",Ellis Peters
" Who was the first coloured man to appear on The Black and White Minstrel Show
",Lenny Henry
" Who is the oldest man to win Olympic Gold at 100 metres?
",Linford Christie
" The Wizard of Wishaw' is better known as which sportsman?
",John Higgins
" ""How many stories make up Chaucer's """"Canterbury Tales""""?""
",Twenty Four
" Who became the first woman to serve as a Member of Parliament in the British House of Commons, as the result of a by-election in 1919?
",Nancy Astor
" Shirley Temple Black became US Ambassador to which African Country in 1974?
",Ghana
" What city was supposedly founded by Romulus and Remus?
",Rome
" Which river originates in China and empties in the South China Sea?
",The Mekong
" What is the longest continuously-serving state capital in the USA?
","Boston, Massachusetts"
" The historical area of Pomerania is in which country?
",Poland
" On which English town did Thomas Hardy base the town of Casterbridge?
",Dorchester
" The first Canadian province to adopt one of these officially was Nova Scotia in 1955, and now all provinces and territories (except Nunavut) and Cape Breton Island have officially adopted a ... what?
",Tartan
" What is the capital of Tuvalu?
",Funafuti
